id;title;description;activated;order_no
1;Table Fish;Dynamic programming;false;32786
2;Bahrain Principal;radical Configuration Director;false;45797
3;PassX;Borders Sudan Mall;false;96215
4;interfaces auxiliary;Paradigm Optimization calculating;true;14541
5;Alaska Soft FTP;Georgia Generic;true;16847
6;busXX;cross-platform;true;78128
7;Berkshire Jordanian ;turn-key Soft;true;83632
8;Club architectures;generate Ports syndicate;false;11906
9;e-business indigo Ac;Sweden Personal programming;true;341
10;Developer;Future-proofed;false;93660
