id;title;description;activated;order_no
1;patient_by_number;SELECT * FROM ods.tbl_patient WHERE pt_no = :ptNo;1;1
2;patient_by_department;SELECT * FROM ods.tbl_patient WHERE department = :department;1;2
3;patient_by_age_range;SELECT * FROM ods.tbl_patient WHERE age BETWEEN :minAge AND :maxAge ORDER BY age;1;3
4;chart_by_patient;SELECT c.*, p.patient_name FROM ods.tbl_chart c JOIN ods.tbl_patient p ON c.pt_no = p.pt_no WHERE p.pt_no = :ptNo ORDER BY c.chart_date DESC;1;4
5;chart_by_date_range;SELECT c.*, p.patient_name FROM ods.tbl_chart c JOIN ods.tbl_patient p ON c.pt_no = p.pt_no WHERE c.chart_date BETWEEN :startDate AND :endDate ORDER BY c.chart_date DESC;1;5
6;chart_by_doctor;SELECT c.*, p.patient_name FROM ods.tbl_chart c JOIN ods.tbl_patient p ON c.pt_no = p.pt_no WHERE c.doctor_name = :doctorName ORDER BY c.chart_date DESC;1;6
7;record_by_patient;SELECT r.*, p.patient_name FROM ods.tbl_form r JOIN ods.tbl_patient p ON r.pt_no = p.pt_no WHERE r.pt_no = :ptNo ORDER BY r.created_at DESC;1;7
8;record_by_chart;SELECT r.*, p.patient_name FROM ods.tbl_form r JOIN ods.tbl_patient p ON r.pt_no = p.pt_no WHERE r.chart_no = :chartNo ORDER BY r.created_at DESC;1;8
9;patient_stats_by_gender;SELECT gender, COUNT(*) as count, AVG(age) as avg_age FROM ods.tbl_patient GROUP BY gender;1;9
10;recent_charts;SELECT c.*, p.patient_name FROM ods.tbl_chart c JOIN ods.tbl_patient p ON c.pt_no = p.pt_no ORDER BY c.created_at DESC LIMIT :limit;1;10
11;record_by_pt_no;SELECT r.*, p.patient_name FROM ods.tbl_form r JOIN ods.tbl_patient p ON r.pt_no = p.pt_no WHERE r.pt_no = :ptNo ORDER BY r.created_at DESC;1;11
12;record_by_chart_no;SELECT r.*, p.patient_name FROM ods.tbl_form r JOIN ods.tbl_patient p ON r.pt_no = p.pt_no WHERE r.chart_no = :chartNo ORDER BY r.created_at DESC;1;12
13;record_by_pt_no_and_chart_no;SELECT r.*, p.patient_name FROM ods.tbl_form r JOIN ods.tbl_patient p ON r.pt_no = p.pt_no WHERE r.pt_no = :ptNo AND r.chart_no = :chartNo ORDER BY r.created_at DESC;1;13
